ssn,license_id,Fname,Lname,crm_id
19467296,913765274,Michael,Myers,12
91242786,781236349,Damon,Demons,11
91273658,36827527,Jimmy,John,15
98654123,567123098,Tina,Teeny,13
123456789,612873982,Mike,Noss,7
231520746,576978132,Jack,Black,14
428281378,561782634,Moose,Robbins,5
436478105,987654321,sarah,stinger,2
482216329,123456789,John,Doe,1
572904811,692483065,Roddrick,Heugel,6
657208968,672864398,Vicki,Mooze,4
677140786,998877654,Derek,Mauer,3
792351845,786519824,Michele,Moody,10
809765132,672981326,Rubie,Smith,16
892354793,657483921,Jose,Rouse,9
987654321,19283746,Gupta,Ramirez,8
